level_5_sig_id,cell,plate,time,level_3_samples,samples_number,pert_type,pert_drug,targets,targets_number,dose,dose_float
CPC012_NEU_24H:J15,NEU,CPC012,24 h,CPC012_NEU_24H_X1_B7_DUO52HI53LO:J15|CPC012_NEU_24H_X2_B7_DUO52HI53LO:J15|CPC012_NEU_24H_X3_B7_DUO52HI53LO:J15,3,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
CPC012_NEU_24H:J16,NEU,CPC012,24 h,CPC012_NEU_24H_X1_B7_DUO52HI53LO:J16|CPC012_NEU_24H_X2_B7_DUO52HI53LO:J16|CPC012_NEU_24H_X3_B7_DUO52HI53LO:J16,3,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
CPC012_NEU_24H:M09,NEU,CPC012,24 h,CPC012_NEU_24H_X1_B7_DUO52HI53LO:M09|CPC012_NEU_24H_X2_B7_DUO52HI53LO:M09|CPC012_NEU_24H_X3_B7_DUO52HI53LO:M09,3,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
CPC012_NEU_24H:M10,NEU,CPC012,24 h,CPC012_NEU_24H_X1_B7_DUO52HI53LO:M10|CPC012_NEU_24H_X3_B7_DUO52HI53LO:M10,2,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
CPC012_NEU_24H:N09,NEU,CPC012,24 h,CPC012_NEU_24H_X2_B7_DUO52HI53LO:N09,1,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
CPC012_NEU_24H:N10,NEU,CPC012,24 h,CPC012_NEU_24H_X1_B7_DUO52HI53LO:N10|CPC012_NEU_24H_X2_B7_DUO52HI53LO:N10,2,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
CPC013_NEU_24H:A17,NEU,CPC013,24 h,CPC013_NEU_24H_X1_B7_DUO52HI53LO:A17|CPC013_NEU_24H_X4_B7_DUO52HI53LO:A17,2,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
CPC013_NEU_24H:A18,NEU,CPC013,24 h,CPC013_NEU_24H_X4_B7_DUO52HI53LO:A18,1,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
CPC013_NEU_24H:B17,NEU,CPC013,24 h,CPC013_NEU_24H_X4_B7_DUO52HI53LO:B17,1,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
CPC013_NEU_24H:B18,NEU,CPC013,24 h,CPC013_NEU_24H_X4_B7_DUO52HI53LO:B18,1,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
CPC013_NEU_24H:DMSO:-666,NEU,CPC013,24 h,CPC013_NEU_24H_X1_B7_DUO52HI53LO:A17|CPC013_NEU_24H_X1_B7_DUO52HI53LO:E05|CPC013_NEU_24H_X1_B7_DUO52HI53LO:F05|CPC013_NEU_24H_X1_B7_DUO52HI53LO:I15|CPC013_NEU_24H_X1_B7_DUO52HI53LO:I16|CPC013_NEU_24H_X1_B7_DUO52HI53LO:J15|CPC013_NEU_24H_X1_B7_DUO52HI53LO:J16|CPC013_NEU_24H_X1_B7_DUO52HI53LO:N09|CPC013_NEU_24H_X4_B7_DUO52HI53LO:A17|CPC013_NEU_24H_X4_B7_DUO52HI53LO:A18|CPC013_NEU_24H_X4_B7_DUO52HI53LO:B17|CPC013_NEU_24H_X4_B7_DUO52HI53LO:B18|CPC013_NEU_24H_X4_B7_DUO52HI53LO:I15|CPC013_NEU_24H_X4_B7_DUO52HI53LO:I16|CPC013_NEU_24H_X4_B7_DUO52HI53LO:N09|CPC013_NEU_24H_X4_B7_DUO52HI53LO:N10,16,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
CPC013_NEU_24H:E05,NEU,CPC013,24 h,CPC013_NEU_24H_X1_B7_DUO52HI53LO:E05,1,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
CPC013_NEU_24H:F05,NEU,CPC013,24 h,CPC013_NEU_24H_X1_B7_DUO52HI53LO:F05,1,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
CPC013_NEU_24H:I15,NEU,CPC013,24 h,CPC013_NEU_24H_X1_B7_DUO52HI53LO:I15|CPC013_NEU_24H_X4_B7_DUO52HI53LO:I15,2,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
CPC013_NEU_24H:I16,NEU,CPC013,24 h,CPC013_NEU_24H_X1_B7_DUO52HI53LO:I16|CPC013_NEU_24H_X4_B7_DUO52HI53LO:I16,2,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
CPC013_NEU_24H:J15,NEU,CPC013,24 h,CPC013_NEU_24H_X1_B7_DUO52HI53LO:J15,1,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
CPC013_NEU_24H:J16,NEU,CPC013,24 h,CPC013_NEU_24H_X1_B7_DUO52HI53LO:J16,1,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
CPC013_NEU_24H:N09,NEU,CPC013,24 h,CPC013_NEU_24H_X1_B7_DUO52HI53LO:N09|CPC013_NEU_24H_X4_B7_DUO52HI53LO:N09,2,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
CPC013_NEU_24H:N10,NEU,CPC013,24 h,CPC013_NEU_24H_X4_B7_DUO52HI53LO:N10,1,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
CPC014_NEU_24H:A17,NEU,CPC014,24 h,CPC014_NEU_24H_X1_B7_DUO52HI53LO:A17,1,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
CPC014_NEU_24H:A18,NEU,CPC014,24 h,CPC014_NEU_24H_X1_B7_DUO52HI53LO:A18,1,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
CPC014_NEU_24H:B17,NEU,CPC014,24 h,CPC014_NEU_24H_X1_B7_DUO52HI53LO:B17|CPC014_NEU_24H_X4_B7_DUO52HI53LO:B17,2,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
CPC014_NEU_24H:B18,NEU,CPC014,24 h,CPC014_NEU_24H_X1_B7_DUO52HI53LO:B18,1,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
CPC014_NEU_24H:DMSO:-666,NEU,CPC014,24 h,CPC014_NEU_24H_X1_B7_DUO52HI53LO:A17|CPC014_NEU_24H_X1_B7_DUO52HI53LO:A18|CPC014_NEU_24H_X1_B7_DUO52HI53LO:B17|CPC014_NEU_24H_X1_B7_DUO52HI53LO:B18|CPC014_NEU_24H_X1_B7_DUO52HI53LO:E05|CPC014_NEU_24H_X1_B7_DUO52HI53LO:F05|CPC014_NEU_24H_X1_B7_DUO52HI53LO:I15|CPC014_NEU_24H_X1_B7_DUO52HI53LO:I16|CPC014_NEU_24H_X1_B7_DUO52HI53LO:J15|CPC014_NEU_24H_X1_B7_DUO52HI53LO:J16|CPC014_NEU_24H_X1_B7_DUO52HI53LO:N09|CPC014_NEU_24H_X1_B7_DUO52HI53LO:N10|CPC014_NEU_24H_X4_B7_DUO52HI53LO:B17|CPC014_NEU_24H_X4_B7_DUO52HI53LO:F05|CPC014_NEU_24H_X4_B7_DUO52HI53LO:I15|CPC014_NEU_24H_X4_B7_DUO52HI53LO:J16|CPC014_NEU_24H_X4_B7_DUO52HI53LO:M09|CPC014_NEU_24H_X4_B7_DUO52HI53LO:M10|CPC014_NEU_24H_X4_B7_DUO52HI53LO:N09|CPC014_NEU_24H_X4_B7_DUO52HI53LO:N10,20,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
CPC014_NEU_24H:E05,NEU,CPC014,24 h,CPC014_NEU_24H_X1_B7_DUO52HI53LO:E05,1,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
CPC014_NEU_24H:F05,NEU,CPC014,24 h,CPC014_NEU_24H_X1_B7_DUO52HI53LO:F05|CPC014_NEU_24H_X4_B7_DUO52HI53LO:F05,2,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
CPC014_NEU_24H:I15,NEU,CPC014,24 h,CPC014_NEU_24H_X1_B7_DUO52HI53LO:I15|CPC014_NEU_24H_X4_B7_DUO52HI53LO:I15,2,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
CPC014_NEU_24H:I16,NEU,CPC014,24 h,CPC014_NEU_24H_X1_B7_DUO52HI53LO:I16,1,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
CPC014_NEU_24H:J15,NEU,CPC014,24 h,CPC014_NEU_24H_X1_B7_DUO52HI53LO:J15,1,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
CPC014_NEU_24H:J16,NEU,CPC014,24 h,CPC014_NEU_24H_X1_B7_DUO52HI53LO:J16|CPC014_NEU_24H_X4_B7_DUO52HI53LO:J16,2,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
CPC014_NEU_24H:M09,NEU,CPC014,24 h,CPC014_NEU_24H_X4_B7_DUO52HI53LO:M09,1,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
CPC014_NEU_24H:M10,NEU,CPC014,24 h,CPC014_NEU_24H_X4_B7_DUO52HI53LO:M10,1,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
CPC014_NEU_24H:N09,NEU,CPC014,24 h,CPC014_NEU_24H_X1_B7_DUO52HI53LO:N09|CPC014_NEU_24H_X4_B7_DUO52HI53LO:N09,2,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
CPC014_NEU_24H:N10,NEU,CPC014,24 h,CPC014_NEU_24H_X1_B7_DUO52HI53LO:N10|CPC014_NEU_24H_X4_B7_DUO52HI53LO:N10,2,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
CPC016_NEU_24H:A17,NEU,CPC016,24 h,CPC016_NEU_24H_X2_B7_DUO52HI53LO:A17|CPC016_NEU_24H_X3_B7_DUO52HI53LO:A17|CPC016_NEU_24H_X4_B7_DUO52HI53LO:A17,3,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
CPC016_NEU_24H:A18,NEU,CPC016,24 h,CPC016_NEU_24H_X2_B7_DUO52HI53LO:A18|CPC016_NEU_24H_X4_B7_DUO52HI53LO:A18,2,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
CPC016_NEU_24H:B17,NEU,CPC016,24 h,CPC016_NEU_24H_X3_B7_DUO52HI53LO:B17|CPC016_NEU_24H_X4_B7_DUO52HI53LO:B17,2,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
CPC016_NEU_24H:B18,NEU,CPC016,24 h,CPC016_NEU_24H_X2_B7_DUO52HI53LO:B18|CPC016_NEU_24H_X4_B7_DUO52HI53LO:B18,2,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
CPC016_NEU_24H:DMSO:-666,NEU,CPC016,24 h,CPC016_NEU_24H_X2_B7_DUO52HI53LO:A17|CPC016_NEU_24H_X2_B7_DUO52HI53LO:A18|CPC016_NEU_24H_X2_B7_DUO52HI53LO:B18|CPC016_NEU_24H_X2_B7_DUO52HI53LO:E06|CPC016_NEU_24H_X2_B7_DUO52HI53LO:F05|CPC016_NEU_24H_X2_B7_DUO52HI53LO:F06|CPC016_NEU_24H_X2_B7_DUO52HI53LO:I15|CPC016_NEU_24H_X2_B7_DUO52HI53LO:J15|CPC016_NEU_24H_X2_B7_DUO52HI53LO:M09|CPC016_NEU_24H_X2_B7_DUO52HI53LO:M10|CPC016_NEU_24H_X2_B7_DUO52HI53LO:N09|CPC016_NEU_24H_X3_B7_DUO52HI53LO:A17|CPC016_NEU_24H_X3_B7_DUO52HI53LO:B17|CPC016_NEU_24H_X3_B7_DUO52HI53LO:E05|CPC016_NEU_24H_X3_B7_DUO52HI53LO:E06|CPC016_NEU_24H_X3_B7_DUO52HI53LO:F05|CPC016_NEU_24H_X3_B7_DUO52HI53LO:F06|CPC016_NEU_24H_X3_B7_DUO52HI53LO:I15|CPC016_NEU_24H_X3_B7_DUO52HI53LO:I16|CPC016_NEU_24H_X3_B7_DUO52HI53LO:J16|CPC016_NEU_24H_X3_B7_DUO52HI53LO:M09|CPC016_NEU_24H_X3_B7_DUO52HI53LO:M10|CPC016_NEU_24H_X3_B7_DUO52HI53LO:N09|CPC016_NEU_24H_X3_B7_DUO52HI53LO:N10|CPC016_NEU_24H_X4_B7_DUO52HI53LO:A17|CPC016_NEU_24H_X4_B7_DUO52HI53LO:A18|CPC016_NEU_24H_X4_B7_DUO52HI53LO:B17|CPC016_NEU_24H_X4_B7_DUO52HI53LO:B18|CPC016_NEU_24H_X4_B7_DUO52HI53LO:E05|CPC016_NEU_24H_X4_B7_DUO52HI53LO:E06|CPC016_NEU_24H_X4_B7_DUO52HI53LO:F05|CPC016_NEU_24H_X4_B7_DUO52HI53LO:F06,32,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
CPC016_NEU_24H:E05,NEU,CPC016,24 h,CPC016_NEU_24H_X3_B7_DUO52HI53LO:E05|CPC016_NEU_24H_X4_B7_DUO52HI53LO:E05,2,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
CPC016_NEU_24H:E06,NEU,CPC016,24 h,CPC016_NEU_24H_X2_B7_DUO52HI53LO:E06|CPC016_NEU_24H_X3_B7_DUO52HI53LO:E06|CPC016_NEU_24H_X4_B7_DUO52HI53LO:E06,3,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
CPC016_NEU_24H:F05,NEU,CPC016,24 h,CPC016_NEU_24H_X2_B7_DUO52HI53LO:F05|CPC016_NEU_24H_X3_B7_DUO52HI53LO:F05|CPC016_NEU_24H_X4_B7_DUO52HI53LO:F05,3,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
CPC016_NEU_24H:F06,NEU,CPC016,24 h,CPC016_NEU_24H_X2_B7_DUO52HI53LO:F06|CPC016_NEU_24H_X3_B7_DUO52HI53LO:F06|CPC016_NEU_24H_X4_B7_DUO52HI53LO:F06,3,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
CPC016_NEU_24H:I15,NEU,CPC016,24 h,CPC016_NEU_24H_X2_B7_DUO52HI53LO:I15|CPC016_NEU_24H_X3_B7_DUO52HI53LO:I15,2,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
CPC016_NEU_24H:I16,NEU,CPC016,24 h,CPC016_NEU_24H_X3_B7_DUO52HI53LO:I16,1,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
CPC016_NEU_24H:J15,NEU,CPC016,24 h,CPC016_NEU_24H_X2_B7_DUO52HI53LO:J15,1,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
CPC016_NEU_24H:J16,NEU,CPC016,24 h,CPC016_NEU_24H_X3_B7_DUO52HI53LO:J16,1,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
CPC016_NEU_24H:M09,NEU,CPC016,24 h,CPC016_NEU_24H_X2_B7_DUO52HI53LO:M09|CPC016_NEU_24H_X3_B7_DUO52HI53LO:M09,2,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
CPC016_NEU_24H:M10,NEU,CPC016,24 h,CPC016_NEU_24H_X2_B7_DUO52HI53LO:M10|CPC016_NEU_24H_X3_B7_DUO52HI53LO:M10,2,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
CPC016_NEU_24H:N09,NEU,CPC016,24 h,CPC016_NEU_24H_X2_B7_DUO52HI53LO:N09|CPC016_NEU_24H_X3_B7_DUO52HI53LO:N09,2,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
CPC016_NEU_24H:N10,NEU,CPC016,24 h,CPC016_NEU_24H_X3_B7_DUO52HI53LO:N10,1,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
DOSBIO001_NEU_24H:A05,NEU,DOSBIO001,24 h,DOSBIO001_NEU_24H_X3_B12:A05,1,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
DOSBIO001_NEU_24H:A06,NEU,DOSBIO001,24 h,DOSBIO001_NEU_24H_X1_B12:A06,1,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
DOSBIO001_NEU_24H:A18,NEU,DOSBIO001,24 h,DOSBIO001_NEU_24H_X1_B12:A18,1,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
DOSBIO001_NEU_24H:B05,NEU,DOSBIO001,24 h,DOSBIO001_NEU_24H_X1_B12:B05,1,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
DOSBIO001_NEU_24H:B06,NEU,DOSBIO001,24 h,DOSBIO001_NEU_24H_X1_B12:B06,1,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
DOSBIO001_NEU_24H:B17,NEU,DOSBIO001,24 h,DOSBIO001_NEU_24H_X1_B12:B17|DOSBIO001_NEU_24H_X3_B12:B17,2,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
DOSBIO001_NEU_24H:B18,NEU,DOSBIO001,24 h,DOSBIO001_NEU_24H_X3_B12:B18,1,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
DOSBIO001_NEU_24H:DMSO:0.1,NEU,DOSBIO001,24 h,DOSBIO001_NEU_24H_X1_B12:A06|DOSBIO001_NEU_24H_X1_B12:A18|DOSBIO001_NEU_24H_X1_B12:B05|DOSBIO001_NEU_24H_X1_B12:B06|DOSBIO001_NEU_24H_X1_B12:B17|DOSBIO001_NEU_24H_X1_B12:E23|DOSBIO001_NEU_24H_X1_B12:G10|DOSBIO001_NEU_24H_X1_B12:G15|DOSBIO001_NEU_24H_X1_B12:H15|DOSBIO001_NEU_24H_X3_B12:A05|DOSBIO001_NEU_24H_X3_B12:B17|DOSBIO001_NEU_24H_X3_B12:B18|DOSBIO001_NEU_24H_X3_B12:E24|DOSBIO001_NEU_24H_X3_B12:F24|DOSBIO001_NEU_24H_X3_B12:M17|DOSBIO001_NEU_24H_X3_B12:M23|DOSBIO001_NEU_24H_X3_B12:M24|DOSBIO001_NEU_24H_X3_B12:N23|DOSBIO001_NEU_24H_X3_B12:N24|DOSBIO001_NEU_24H_X3_B12:O01|DOSBIO001_NEU_24H_X3_B12:P01|DOSBIO001_NEU_24H_X3_B12:P02,22,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
DOSBIO001_NEU_24H:E23,NEU,DOSBIO001,24 h,DOSBIO001_NEU_24H_X1_B12:E23,1,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
DOSBIO001_NEU_24H:E24,NEU,DOSBIO001,24 h,DOSBIO001_NEU_24H_X3_B12:E24,1,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
DOSBIO001_NEU_24H:F24,NEU,DOSBIO001,24 h,DOSBIO001_NEU_24H_X3_B12:F24,1,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
DOSBIO001_NEU_24H:G10,NEU,DOSBIO001,24 h,DOSBIO001_NEU_24H_X1_B12:G10,1,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
DOSBIO001_NEU_24H:G15,NEU,DOSBIO001,24 h,DOSBIO001_NEU_24H_X1_B12:G15,1,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
DOSBIO001_NEU_24H:H15,NEU,DOSBIO001,24 h,DOSBIO001_NEU_24H_X1_B12:H15,1,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
DOSBIO001_NEU_24H:M17,NEU,DOSBIO001,24 h,DOSBIO001_NEU_24H_X3_B12:M17,1,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
DOSBIO001_NEU_24H:M23,NEU,DOSBIO001,24 h,DOSBIO001_NEU_24H_X3_B12:M23,1,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
DOSBIO001_NEU_24H:M24,NEU,DOSBIO001,24 h,DOSBIO001_NEU_24H_X3_B12:M24,1,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
DOSBIO001_NEU_24H:N23,NEU,DOSBIO001,24 h,DOSBIO001_NEU_24H_X3_B12:N23,1,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
DOSBIO001_NEU_24H:N24,NEU,DOSBIO001,24 h,DOSBIO001_NEU_24H_X3_B12:N24,1,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
DOSBIO001_NEU_24H:O01,NEU,DOSBIO001,24 h,DOSBIO001_NEU_24H_X3_B12:O01,1,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
DOSBIO001_NEU_24H:P01,NEU,DOSBIO001,24 h,DOSBIO001_NEU_24H_X3_B12:P01,1,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
DOSBIO001_NEU_24H:P02,NEU,DOSBIO001,24 h,DOSBIO001_NEU_24H_X3_B12:P02,1,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
DOSBIO002_NEU_24H:A18,NEU,DOSBIO002,24 h,DOSBIO002_NEU_24H_X2_B12:A18,1,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
