level_3_sample_id,cell,time,pert_type,pert_drug,dose
CPC014_NEU_24H_X1_B7_DUO52HI53LO:J15,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC014_NEU_24H_X1_B7_DUO52HI53LO:J16,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC014_NEU_24H_X1_B7_DUO52HI53LO:N09,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC014_NEU_24H_X1_B7_DUO52HI53LO:N10,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC014_NEU_24H_X4_B7_DUO52HI53LO:B17,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC014_NEU_24H_X4_B7_DUO52HI53LO:F05,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC014_NEU_24H_X4_B7_DUO52HI53LO:I15,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC014_NEU_24H_X4_B7_DUO52HI53LO:J16,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC014_NEU_24H_X4_B7_DUO52HI53LO:M09,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC014_NEU_24H_X4_B7_DUO52HI53LO:M10,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC014_NEU_24H_X4_B7_DUO52HI53LO:N09,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC014_NEU_24H_X4_B7_DUO52HI53LO:N10,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC016_NEU_24H_X2_B7_DUO52HI53LO:A17,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC016_NEU_24H_X2_B7_DUO52HI53LO:A18,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC016_NEU_24H_X2_B7_DUO52HI53LO:B18,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC016_NEU_24H_X2_B7_DUO52HI53LO:E06,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC016_NEU_24H_X2_B7_DUO52HI53LO:F05,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC016_NEU_24H_X2_B7_DUO52HI53LO:F06,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC016_NEU_24H_X2_B7_DUO52HI53LO:I15,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC016_NEU_24H_X2_B7_DUO52HI53LO:J15,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC016_NEU_24H_X2_B7_DUO52HI53LO:M09,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC016_NEU_24H_X2_B7_DUO52HI53LO:M10,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC016_NEU_24H_X2_B7_DUO52HI53LO:N09,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC016_NEU_24H_X3_B7_DUO52HI53LO:A17,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC016_NEU_24H_X3_B7_DUO52HI53LO:B17,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC016_NEU_24H_X3_B7_DUO52HI53LO:E05,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC016_NEU_24H_X3_B7_DUO52HI53LO:E06,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC016_NEU_24H_X3_B7_DUO52HI53LO:F05,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC016_NEU_24H_X3_B7_DUO52HI53LO:F06,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC016_NEU_24H_X3_B7_DUO52HI53LO:I15,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC016_NEU_24H_X3_B7_DUO52HI53LO:I16,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC016_NEU_24H_X3_B7_DUO52HI53LO:J16,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC016_NEU_24H_X3_B7_DUO52HI53LO:M09,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC016_NEU_24H_X3_B7_DUO52HI53LO:M10,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC016_NEU_24H_X3_B7_DUO52HI53LO:N09,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC016_NEU_24H_X3_B7_DUO52HI53LO:N10,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC016_NEU_24H_X4_B7_DUO52HI53LO:A17,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC016_NEU_24H_X4_B7_DUO52HI53LO:A18,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC016_NEU_24H_X4_B7_DUO52HI53LO:B17,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC016_NEU_24H_X4_B7_DUO52HI53LO:B18,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC016_NEU_24H_X4_B7_DUO52HI53LO:E05,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC016_NEU_24H_X4_B7_DUO52HI53LO:E06,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC016_NEU_24H_X4_B7_DUO52HI53LO:F05,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC016_NEU_24H_X4_B7_DUO52HI53LO:F06,NEU,24 h,ctl_vehicle,DMSO,0 uM
DOSBIO001_NEU_24H_X1_B12:A06,NEU,24 h,ctl_vehicle,DMSO,0 uM
DOSBIO001_NEU_24H_X1_B12:A18,NEU,24 h,ctl_vehicle,DMSO,0 uM
DOSBIO001_NEU_24H_X1_B12:B05,NEU,24 h,ctl_vehicle,DMSO,0 uM
DOSBIO001_NEU_24H_X1_B12:B06,NEU,24 h,ctl_vehicle,DMSO,0 uM
DOSBIO001_NEU_24H_X1_B12:B17,NEU,24 h,ctl_vehicle,DMSO,0 uM
DOSBIO001_NEU_24H_X1_B12:E23,NEU,24 h,ctl_vehicle,DMSO,0 uM
DOSBIO001_NEU_24H_X1_B12:G10,NEU,24 h,ctl_vehicle,DMSO,0 uM
DOSBIO001_NEU_24H_X1_B12:G15,NEU,24 h,ctl_vehicle,DMSO,0 uM
DOSBIO001_NEU_24H_X1_B12:H15,NEU,24 h,ctl_vehicle,DMSO,0 uM
DOSBIO001_NEU_24H_X3_B12:A05,NEU,24 h,ctl_vehicle,DMSO,0 uM
DOSBIO001_NEU_24H_X3_B12:B17,NEU,24 h,ctl_vehicle,DMSO,0 uM
DOSBIO001_NEU_24H_X3_B12:B18,NEU,24 h,ctl_vehicle,DMSO,0 uM
DOSBIO001_NEU_24H_X3_B12:E24,NEU,24 h,ctl_vehicle,DMSO,0 uM
DOSBIO001_NEU_24H_X3_B12:F24,NEU,24 h,ctl_vehicle,DMSO,0 uM
DOSBIO001_NEU_24H_X3_B12:M17,NEU,24 h,ctl_vehicle,DMSO,0 uM
DOSBIO001_NEU_24H_X3_B12:M23,NEU,24 h,ctl_vehicle,DMSO,0 uM
DOSBIO001_NEU_24H_X3_B12:M24,NEU,24 h,ctl_vehicle,DMSO,0 uM
DOSBIO001_NEU_24H_X3_B12:N23,NEU,24 h,ctl_vehicle,DMSO,0 uM
DOSBIO001_NEU_24H_X3_B12:N24,NEU,24 h,ctl_vehicle,DMSO,0 uM
DOSBIO001_NEU_24H_X3_B12:O01,NEU,24 h,ctl_vehicle,DMSO,0 uM
DOSBIO001_NEU_24H_X3_B12:P01,NEU,24 h,ctl_vehicle,DMSO,0 uM
DOSBIO001_NEU_24H_X3_B12:P02,NEU,24 h,ctl_vehicle,DMSO,0 uM
DOSBIO002_NEU_24H_X1_B12:L10,NEU,24 h,ctl_vehicle,DMSO,0 uM
DOSBIO002_NEU_24H_X1_B12:L14,NEU,24 h,ctl_vehicle,DMSO,0 uM
DOSBIO002_NEU_24H_X1_B12:L16,NEU,24 h,ctl_vehicle,DMSO,0 uM
DOSBIO002_NEU_24H_X1_B12:L18,NEU,24 h,ctl_vehicle,DMSO,0 uM
DOSBIO002_NEU_24H_X1_B12:M24,NEU,24 h,ctl_vehicle,DMSO,0 uM
DOSBIO002_NEU_24H_X1_B12:N04,NEU,24 h,ctl_vehicle,DMSO,0 uM
DOSBIO002_NEU_24H_X1_B12:N08,NEU,24 h,ctl_vehicle,DMSO,0 uM
DOSBIO002_NEU_24H_X1_B12:N16,NEU,24 h,ctl_vehicle,DMSO,0 uM
DOSBIO002_NEU_24H_X1_B12:N20,NEU,24 h,ctl_vehicle,DMSO,0 uM
DOSBIO002_NEU_24H_X1_B12:N23,NEU,24 h,ctl_vehicle,DMSO,0 uM
DOSBIO002_NEU_24H_X1_B12:O02,NEU,24 h,ctl_vehicle,DMSO,0 uM
DOSBIO002_NEU_24H_X1_B12:P06,NEU,24 h,ctl_vehicle,DMSO,0 uM
DOSBIO002_NEU_24H_X1_B12:P08,NEU,24 h,ctl_vehicle,DMSO,0 uM
DOSBIO002_NEU_24H_X1_B12:P18,NEU,24 h,ctl_vehicle,DMSO,0 uM
DOSBIO002_NEU_24H_X1_B12:P20,NEU,24 h,ctl_vehicle,DMSO,0 uM
DOSBIO002_NEU_24H_X1_B12:P24,NEU,24 h,ctl_vehicle,DMSO,0 uM
DOSBIO002_NEU_24H_X2_B12:A18,NEU,24 h,ctl_vehicle,DMSO,0 uM
DOSBIO002_NEU_24H_X2_B12:L10,NEU,24 h,ctl_vehicle,DMSO,0 uM
DOSBIO002_NEU_24H_X2_B12:L12,NEU,24 h,ctl_vehicle,DMSO,0 uM
DOSBIO002_NEU_24H_X2_B12:L16,NEU,24 h,ctl_vehicle,DMSO,0 uM
DOSBIO002_NEU_24H_X2_B12:L22,NEU,24 h,ctl_vehicle,DMSO,0 uM
DOSBIO002_NEU_24H_X2_B12:M17,NEU,24 h,ctl_vehicle,DMSO,0 uM
DOSBIO002_NEU_24H_X2_B12:M23,NEU,24 h,ctl_vehicle,DMSO,0 uM
DOSBIO002_NEU_24H_X2_B12:N02,NEU,24 h,ctl_vehicle,DMSO,0 uM
DOSBIO002_NEU_24H_X2_B12:N04,NEU,24 h,ctl_vehicle,DMSO,0 uM
DOSBIO002_NEU_24H_X2_B12:N08,NEU,24 h,ctl_vehicle,DMSO,0 uM
DOSBIO002_NEU_24H_X2_B12:N18,NEU,24 h,ctl_vehicle,DMSO,0 uM
DOSBIO002_NEU_24H_X2_B12:N20,NEU,24 h,ctl_vehicle,DMSO,0 uM
DOSBIO002_NEU_24H_X2_B12:N22,NEU,24 h,ctl_vehicle,DMSO,0 uM
DOSBIO002_NEU_24H_X2_B12:N23,NEU,24 h,ctl_vehicle,DMSO,0 uM
DOSBIO002_NEU_24H_X2_B12:O01,NEU,24 h,ctl_vehicle,DMSO,0 uM
DOSBIO002_NEU_24H_X2_B12:O02,NEU,24 h,ctl_vehicle,DMSO,0 uM
DOSBIO002_NEU_24H_X2_B12:P02,NEU,24 h,ctl_vehicle,DMSO,0 uM
DOSBIO002_NEU_24H_X2_B12:P04,NEU,24 h,ctl_vehicle,DMSO,0 uM
DOSBIO002_NEU_24H_X2_B12:P06,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP007_NEU_24H_X3_B21:A05,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP007_NEU_24H_X3_B21:B05,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP007_NEU_24H_X3_B21:B06,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP007_NEU_24H_X3_B21:F07,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP007_NEU_24H_X3_B21:F08,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP007_NEU_24H_X3_B21:F09,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP007_NEU_24H_X3_B21:F10,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP007_NEU_24H_X3_B21:F11,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP007_NEU_24H_X3_B21:F12,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP007_NEU_24H_X3_B21:J13,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP007_NEU_24H_X3_B21:J14,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP007_NEU_24H_X3_B21:J15,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP007_NEU_24H_X3_B21:J16,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP007_NEU_24H_X3_B21:J17,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP007_NEU_24H_X3_B21:J18,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP007_NEU_24H_X3_B21:N19,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP007_NEU_24H_X3_B21:N20,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP007_NEU_24H_X3_B21:N21,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP007_NEU_24H_X3_B21:N22,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP007_NEU_24H_X3_B21:N23,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP007_NEU_24H_X3_B21:N24,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP008_NEU_24H_X1_B21:A05,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP008_NEU_24H_X1_B21:A06,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP008_NEU_24H_X1_B21:B05,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP008_NEU_24H_X1_B21:B06,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP008_NEU_24H_X1_B21:F07,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP008_NEU_24H_X1_B21:F08,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP008_NEU_24H_X1_B21:F09,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP008_NEU_24H_X1_B21:F10,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP008_NEU_24H_X1_B21:F11,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP008_NEU_24H_X1_B21:F12,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP008_NEU_24H_X1_B21:J13,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP008_NEU_24H_X1_B21:J14,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP008_NEU_24H_X1_B21:J15,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP008_NEU_24H_X1_B21:J16,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP008_NEU_24H_X1_B21:J17,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP008_NEU_24H_X1_B21:J18,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP008_NEU_24H_X1_B21:N19,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP008_NEU_24H_X1_B21:N20,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP008_NEU_24H_X1_B21:N21,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP008_NEU_24H_X1_B21:N22,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP008_NEU_24H_X1_B21:N23,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP008_NEU_24H_X1_B21:N24,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP008_NEU_24H_X1_B21:P19,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP008_NEU_24H_X1_B21:P20,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP008_NEU_24H_X1_B21:P21,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP008_NEU_24H_X1_B21:P22,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP008_NEU_24H_X1_B21:P23,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP008_NEU_24H_X1_B21:P24,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP008_NEU_24H_X2_B21:A05,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP008_NEU_24H_X2_B21:A06,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP008_NEU_24H_X2_B21:B05,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP008_NEU_24H_X2_B21:B06,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP008_NEU_24H_X2_B21:F07,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP008_NEU_24H_X2_B21:F08,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP008_NEU_24H_X2_B21:F09,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP008_NEU_24H_X2_B21:F10,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP008_NEU_24H_X2_B21:F11,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP008_NEU_24H_X2_B21:F12,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP008_NEU_24H_X2_B21:J13,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP008_NEU_24H_X2_B21:J14,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP008_NEU_24H_X2_B21:J15,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP008_NEU_24H_X2_B21:J16,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP008_NEU_24H_X2_B21:J17,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP008_NEU_24H_X2_B21:J18,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP008_NEU_24H_X2_B21:N19,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP008_NEU_24H_X2_B21:N20,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP008_NEU_24H_X2_B21:N21,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP008_NEU_24H_X2_B21:N22,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP008_NEU_24H_X2_B21:N23,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP008_NEU_24H_X2_B21:N24,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP008_NEU_24H_X2_B21:P19,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP008_NEU_24H_X2_B21:P20,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP008_NEU_24H_X2_B21:P21,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP008_NEU_24H_X2_B21:P22,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP008_NEU_24H_X2_B21:P23,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP008_NEU_24H_X2_B21:P24,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP009_NEU_24H_X1_B21:A05,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP009_NEU_24H_X1_B21:A06,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP009_NEU_24H_X1_B21:B05,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP009_NEU_24H_X1_B21:B06,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP009_NEU_24H_X1_B21:F07,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP009_NEU_24H_X1_B21:F08,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP009_NEU_24H_X1_B21:F09,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP009_NEU_24H_X1_B21:F10,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP009_NEU_24H_X1_B21:F11,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP009_NEU_24H_X1_B21:F12,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP009_NEU_24H_X1_B21:J13,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP009_NEU_24H_X1_B21:J14,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP009_NEU_24H_X1_B21:J15,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP009_NEU_24H_X1_B21:J16,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP009_NEU_24H_X1_B21:J17,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP009_NEU_24H_X1_B21:J18,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP009_NEU_24H_X1_B21:N19,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP009_NEU_24H_X1_B21:N20,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP009_NEU_24H_X1_B21:N21,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP009_NEU_24H_X1_B21:N22,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP009_NEU_24H_X1_B21:N23,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP009_NEU_24H_X1_B21:N24,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP009_NEU_24H_X2_B21:A05,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP009_NEU_24H_X2_B21:A06,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP009_NEU_24H_X2_B21:B06,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP009_NEU_24H_X2_B21:F07,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP009_NEU_24H_X2_B21:F08,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP009_NEU_24H_X2_B21:F09,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP009_NEU_24H_X2_B21:F10,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP009_NEU_24H_X2_B21:F11,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP009_NEU_24H_X2_B21:F12,NEU,24 h,ctl_vehicle,DMSO,0 uM
LJP009_NEU_24H_X2_B21:J13,NEU,24 h,ctl_vehicle,DMSO,0 uM
