level_3_sample_id,cell,time,pert_type,pert_drug,dose
XPR008_U251MG.311_96H_X1_B35:K04,U251MG,96 h,ctl_vector,BRDN0001146317,
XPR008_U251MG.311_96H_X1_B35:L03,U251MG,96 h,ctl_vector,BRDN0001148995,
XPR008_U251MG.311_96H_X1_B35:L04,U251MG,96 h,ctl_vector,BRDN0001477792,
XPR008_U251MG.311_96H_X1_B35:L23,U251MG,96 h,ctl_untrt,UnTrt,
XPR008_U251MG.311_96H_X1_B35:O17,U251MG,96 h,ctl_untrt,UnTrt,
XPR008_U251MG.311_96H_X2_B35:A22,U251MG,96 h,ctl_untrt,UnTrt,
XPR008_U251MG.311_96H_X2_B35:B20,U251MG,96 h,ctl_untrt,UnTrt,
XPR008_U251MG.311_96H_X2_B35:B24,U251MG,96 h,ctl_untrt,UnTrt,
XPR008_U251MG.311_96H_X2_B35:C11,U251MG,96 h,ctl_vector,BRDN0001148129,
XPR008_U251MG.311_96H_X2_B35:C12,U251MG,96 h,ctl_vector,BRDN0001146004,
XPR008_U251MG.311_96H_X2_B35:D07,U251MG,96 h,ctl_untrt,UnTrt,
XPR008_U251MG.311_96H_X2_B35:D11,U251MG,96 h,ctl_vector,BRDN0001146753,
XPR008_U251MG.311_96H_X2_B35:D12,U251MG,96 h,ctl_vector,BRDN0001477669,
XPR008_U251MG.311_96H_X2_B35:E18,U251MG,96 h,ctl_untrt,UnTrt,
XPR008_U251MG.311_96H_X2_B35:G19,U251MG,96 h,ctl_vector,BRDN0001148519,
XPR008_U251MG.311_96H_X2_B35:G20,U251MG,96 h,ctl_vector,BRDN0001147223,
XPR008_U251MG.311_96H_X2_B35:H19,U251MG,96 h,ctl_vector,BRDN0001487138,
XPR008_U251MG.311_96H_X2_B35:H20,U251MG,96 h,ctl_vector,BRDN0001149216,
XPR008_U251MG.311_96H_X2_B35:I17,U251MG,96 h,ctl_vector,BRDN0001148145,
XPR008_U251MG.311_96H_X2_B35:I18,U251MG,96 h,ctl_vector,BRDN0001147812,
XPR008_U251MG.311_96H_X2_B35:I23,U251MG,96 h,ctl_untrt,UnTrt,
XPR008_U251MG.311_96H_X2_B35:J17,U251MG,96 h,ctl_vector,BRDN0001146109,
XPR008_U251MG.311_96H_X2_B35:J18,U251MG,96 h,ctl_vector,BRDN0001146085,
XPR008_U251MG.311_96H_X2_B35:K03,U251MG,96 h,ctl_vector,BRDN0001477804,
XPR008_U251MG.311_96H_X2_B35:K04,U251MG,96 h,ctl_vector,BRDN0001146317,
XPR008_U251MG.311_96H_X2_B35:L03,U251MG,96 h,ctl_vector,BRDN0001148995,
XPR008_U251MG.311_96H_X2_B35:L04,U251MG,96 h,ctl_vector,BRDN0001477792,
XPR008_U251MG.311_96H_X2_B35:L23,U251MG,96 h,ctl_untrt,UnTrt,
XPR008_U251MG.311_96H_X2_B35:O17,U251MG,96 h,ctl_untrt,UnTrt,
XPR008_U251MG.311_96H_X3_B35:A22,U251MG,96 h,ctl_untrt,UnTrt,
XPR008_U251MG.311_96H_X3_B35:B20,U251MG,96 h,ctl_untrt,UnTrt,
XPR008_U251MG.311_96H_X3_B35:B24,U251MG,96 h,ctl_untrt,UnTrt,
XPR008_U251MG.311_96H_X3_B35:C11,U251MG,96 h,ctl_vector,BRDN0001148129,
XPR008_U251MG.311_96H_X3_B35:C12,U251MG,96 h,ctl_vector,BRDN0001146004,
XPR008_U251MG.311_96H_X3_B35:D07,U251MG,96 h,ctl_untrt,UnTrt,
XPR008_U251MG.311_96H_X3_B35:D11,U251MG,96 h,ctl_vector,BRDN0001146753,
XPR008_U251MG.311_96H_X3_B35:D12,U251MG,96 h,ctl_vector,BRDN0001477669,
XPR008_U251MG.311_96H_X3_B35:E18,U251MG,96 h,ctl_untrt,UnTrt,
XPR008_U251MG.311_96H_X3_B35:G19,U251MG,96 h,ctl_vector,BRDN0001148519,
XPR008_U251MG.311_96H_X3_B35:G20,U251MG,96 h,ctl_vector,BRDN0001147223,
XPR008_U251MG.311_96H_X3_B35:H19,U251MG,96 h,ctl_vector,BRDN0001487138,
XPR008_U251MG.311_96H_X3_B35:H20,U251MG,96 h,ctl_vector,BRDN0001149216,
XPR008_U251MG.311_96H_X3_B35:I17,U251MG,96 h,ctl_vector,BRDN0001148145,
XPR008_U251MG.311_96H_X3_B35:I18,U251MG,96 h,ctl_vector,BRDN0001147812,
XPR008_U251MG.311_96H_X3_B35:I23,U251MG,96 h,ctl_untrt,UnTrt,
XPR008_U251MG.311_96H_X3_B35:J17,U251MG,96 h,ctl_vector,BRDN0001146109,
XPR008_U251MG.311_96H_X3_B35:J18,U251MG,96 h,ctl_vector,BRDN0001146085,
XPR008_U251MG.311_96H_X3_B35:K03,U251MG,96 h,ctl_vector,BRDN0001477804,
XPR008_U251MG.311_96H_X3_B35:K04,U251MG,96 h,ctl_vector,BRDN0001146317,
XPR008_U251MG.311_96H_X3_B35:L03,U251MG,96 h,ctl_vector,BRDN0001148995,
XPR008_U251MG.311_96H_X3_B35:L04,U251MG,96 h,ctl_vector,BRDN0001477792,
XPR008_U251MG.311_96H_X3_B35:L23,U251MG,96 h,ctl_untrt,UnTrt,
XPR008_U251MG.311_96H_X3_B35:O17,U251MG,96 h,ctl_untrt,UnTrt,
XPR009_U251MG.311_96H_X1_B35:C07,U251MG,96 h,ctl_untrt,UnTrt,
XPR009_U251MG.311_96H_X1_B35:C10,U251MG,96 h,ctl_untrt,UnTrt,
XPR009_U251MG.311_96H_X1_B35:C11,U251MG,96 h,ctl_vector,BRDN0001148129,
XPR009_U251MG.311_96H_X1_B35:C12,U251MG,96 h,ctl_vector,BRDN0001146004,
XPR009_U251MG.311_96H_X1_B35:D01,U251MG,96 h,ctl_untrt,UnTrt,
XPR009_U251MG.311_96H_X1_B35:D11,U251MG,96 h,ctl_vector,BRDN0001146753,
XPR009_U251MG.311_96H_X1_B35:D12,U251MG,96 h,ctl_vector,BRDN0001477669,
XPR009_U251MG.311_96H_X1_B35:F12,U251MG,96 h,ctl_untrt,UnTrt,
XPR009_U251MG.311_96H_X1_B35:G19,U251MG,96 h,ctl_vector,BRDN0001148519,
XPR009_U251MG.311_96H_X1_B35:G20,U251MG,96 h,ctl_vector,BRDN0001147223,
XPR009_U251MG.311_96H_X1_B35:H13,U251MG,96 h,ctl_untrt,UnTrt,
XPR009_U251MG.311_96H_X1_B35:H19,U251MG,96 h,ctl_vector,BRDN0001487138,
XPR009_U251MG.311_96H_X1_B35:H20,U251MG,96 h,ctl_vector,BRDN0001149216,
XPR009_U251MG.311_96H_X1_B35:H24,U251MG,96 h,ctl_untrt,UnTrt,
XPR009_U251MG.311_96H_X1_B35:I17,U251MG,96 h,ctl_vector,BRDN0001148145,
XPR009_U251MG.311_96H_X1_B35:I18,U251MG,96 h,ctl_vector,BRDN0001147812,
XPR009_U251MG.311_96H_X1_B35:J17,U251MG,96 h,ctl_vector,BRDN0001146109,
XPR009_U251MG.311_96H_X1_B35:J18,U251MG,96 h,ctl_vector,BRDN0001146085,
XPR009_U251MG.311_96H_X1_B35:K03,U251MG,96 h,ctl_vector,BRDN0001477804,
XPR009_U251MG.311_96H_X1_B35:K04,U251MG,96 h,ctl_vector,BRDN0001146317,
XPR009_U251MG.311_96H_X1_B35:L03,U251MG,96 h,ctl_vector,BRDN0001148995,
XPR009_U251MG.311_96H_X1_B35:L04,U251MG,96 h,ctl_vector,BRDN0001477792,
XPR009_U251MG.311_96H_X1_B35:M02,U251MG,96 h,ctl_untrt,UnTrt,
XPR009_U251MG.311_96H_X1_B35:O03,U251MG,96 h,ctl_untrt,UnTrt,
XPR009_U251MG.311_96H_X2_B35:C07,U251MG,96 h,ctl_untrt,UnTrt,
XPR009_U251MG.311_96H_X2_B35:C10,U251MG,96 h,ctl_untrt,UnTrt,
XPR009_U251MG.311_96H_X2_B35:C11,U251MG,96 h,ctl_vector,BRDN0001148129,
XPR009_U251MG.311_96H_X2_B35:C12,U251MG,96 h,ctl_vector,BRDN0001146004,
XPR009_U251MG.311_96H_X2_B35:D01,U251MG,96 h,ctl_untrt,UnTrt,
XPR009_U251MG.311_96H_X2_B35:D11,U251MG,96 h,ctl_vector,BRDN0001146753,
XPR009_U251MG.311_96H_X2_B35:D12,U251MG,96 h,ctl_vector,BRDN0001477669,
XPR009_U251MG.311_96H_X2_B35:F12,U251MG,96 h,ctl_untrt,UnTrt,
XPR009_U251MG.311_96H_X2_B35:G19,U251MG,96 h,ctl_vector,BRDN0001148519,
XPR009_U251MG.311_96H_X2_B35:G20,U251MG,96 h,ctl_vector,BRDN0001147223,
XPR009_U251MG.311_96H_X2_B35:H13,U251MG,96 h,ctl_untrt,UnTrt,
XPR009_U251MG.311_96H_X2_B35:H19,U251MG,96 h,ctl_vector,BRDN0001487138,
XPR009_U251MG.311_96H_X2_B35:H20,U251MG,96 h,ctl_vector,BRDN0001149216,
XPR009_U251MG.311_96H_X2_B35:H24,U251MG,96 h,ctl_untrt,UnTrt,
XPR009_U251MG.311_96H_X2_B35:I17,U251MG,96 h,ctl_vector,BRDN0001148145,
XPR009_U251MG.311_96H_X2_B35:I18,U251MG,96 h,ctl_vector,BRDN0001147812,
XPR009_U251MG.311_96H_X2_B35:J17,U251MG,96 h,ctl_vector,BRDN0001146109,
XPR009_U251MG.311_96H_X2_B35:J18,U251MG,96 h,ctl_vector,BRDN0001146085,
XPR009_U251MG.311_96H_X2_B35:K03,U251MG,96 h,ctl_vector,BRDN0001477804,
XPR009_U251MG.311_96H_X2_B35:K04,U251MG,96 h,ctl_vector,BRDN0001146317,
XPR009_U251MG.311_96H_X2_B35:L03,U251MG,96 h,ctl_vector,BRDN0001148995,
XPR009_U251MG.311_96H_X2_B35:L04,U251MG,96 h,ctl_vector,BRDN0001477792,
XPR009_U251MG.311_96H_X2_B35:M02,U251MG,96 h,ctl_untrt,UnTrt,
XPR009_U251MG.311_96H_X2_B35:O03,U251MG,96 h,ctl_untrt,UnTrt,
XPR009_U251MG.311_96H_X3_B35:C07,U251MG,96 h,ctl_untrt,UnTrt,
XPR009_U251MG.311_96H_X3_B35:C10,U251MG,96 h,ctl_untrt,UnTrt,
XPR009_U251MG.311_96H_X3_B35:C11,U251MG,96 h,ctl_vector,BRDN0001148129,
XPR009_U251MG.311_96H_X3_B35:C12,U251MG,96 h,ctl_vector,BRDN0001146004,
XPR009_U251MG.311_96H_X3_B35:D01,U251MG,96 h,ctl_untrt,UnTrt,
XPR009_U251MG.311_96H_X3_B35:D11,U251MG,96 h,ctl_vector,BRDN0001146753,
XPR009_U251MG.311_96H_X3_B35:D12,U251MG,96 h,ctl_vector,BRDN0001477669,
XPR009_U251MG.311_96H_X3_B35:F12,U251MG,96 h,ctl_untrt,UnTrt,
XPR009_U251MG.311_96H_X3_B35:G19,U251MG,96 h,ctl_vector,BRDN0001148519,
XPR009_U251MG.311_96H_X3_B35:G20,U251MG,96 h,ctl_vector,BRDN0001147223,
XPR009_U251MG.311_96H_X3_B35:H13,U251MG,96 h,ctl_untrt,UnTrt,
XPR009_U251MG.311_96H_X3_B35:H19,U251MG,96 h,ctl_vector,BRDN0001487138,
XPR009_U251MG.311_96H_X3_B35:H20,U251MG,96 h,ctl_vector,BRDN0001149216,
XPR009_U251MG.311_96H_X3_B35:H24,U251MG,96 h,ctl_untrt,UnTrt,
XPR009_U251MG.311_96H_X3_B35:I17,U251MG,96 h,ctl_vector,BRDN0001148145,
XPR009_U251MG.311_96H_X3_B35:I18,U251MG,96 h,ctl_vector,BRDN0001147812,
XPR009_U251MG.311_96H_X3_B35:J17,U251MG,96 h,ctl_vector,BRDN0001146109,
XPR009_U251MG.311_96H_X3_B35:J18,U251MG,96 h,ctl_vector,BRDN0001146085,
XPR009_U251MG.311_96H_X3_B35:K03,U251MG,96 h,ctl_vector,BRDN0001477804,
XPR009_U251MG.311_96H_X3_B35:K04,U251MG,96 h,ctl_vector,BRDN0001146317,
XPR009_U251MG.311_96H_X3_B35:L03,U251MG,96 h,ctl_vector,BRDN0001148995,
XPR009_U251MG.311_96H_X3_B35:L04,U251MG,96 h,ctl_vector,BRDN0001477792,
XPR009_U251MG.311_96H_X3_B35:M02,U251MG,96 h,ctl_untrt,UnTrt,
XPR009_U251MG.311_96H_X3_B35:O03,U251MG,96 h,ctl_untrt,UnTrt,
XPR010_U251MG.311_96H_X1_B35:A06,U251MG,96 h,ctl_untrt,UnTrt,
XPR010_U251MG.311_96H_X1_B35:C11,U251MG,96 h,ctl_vector,BRDN0001148129,
XPR010_U251MG.311_96H_X1_B35:C12,U251MG,96 h,ctl_vector,BRDN0001146004,
XPR010_U251MG.311_96H_X1_B35:D05,U251MG,96 h,ctl_untrt,UnTrt,
XPR010_U251MG.311_96H_X1_B35:D11,U251MG,96 h,ctl_vector,BRDN0001146753,
XPR010_U251MG.311_96H_X1_B35:D12,U251MG,96 h,ctl_vector,BRDN0001477669,
XPR010_U251MG.311_96H_X1_B35:D20,U251MG,96 h,ctl_untrt,UnTrt,
XPR010_U251MG.311_96H_X1_B35:D21,U251MG,96 h,ctl_untrt,UnTrt,
XPR010_U251MG.311_96H_X1_B35:E13,U251MG,96 h,ctl_untrt,UnTrt,
XPR010_U251MG.311_96H_X1_B35:E14,U251MG,96 h,ctl_untrt,UnTrt,
XPR010_U251MG.311_96H_X1_B35:F04,U251MG,96 h,ctl_untrt,UnTrt,
XPR010_U251MG.311_96H_X1_B35:G19,U251MG,96 h,ctl_vector,BRDN0001148519,
XPR010_U251MG.311_96H_X1_B35:G20,U251MG,96 h,ctl_vector,BRDN0001147223,
XPR010_U251MG.311_96H_X1_B35:H19,U251MG,96 h,ctl_vector,BRDN0001487138,
XPR010_U251MG.311_96H_X1_B35:H20,U251MG,96 h,ctl_vector,BRDN0001149216,
XPR010_U251MG.311_96H_X1_B35:H24,U251MG,96 h,ctl_untrt,UnTrt,
XPR010_U251MG.311_96H_X1_B35:I17,U251MG,96 h,ctl_vector,BRDN0001148145,
XPR010_U251MG.311_96H_X1_B35:I18,U251MG,96 h,ctl_vector,BRDN0001147812,
XPR010_U251MG.311_96H_X1_B35:J17,U251MG,96 h,ctl_vector,BRDN0001146109,
XPR010_U251MG.311_96H_X1_B35:J18,U251MG,96 h,ctl_vector,BRDN0001146085,
XPR010_U251MG.311_96H_X1_B35:K03,U251MG,96 h,ctl_vector,BRDN0001477804,
XPR010_U251MG.311_96H_X1_B35:K04,U251MG,96 h,ctl_vector,BRDN0001146317,
XPR010_U251MG.311_96H_X1_B35:K17,U251MG,96 h,ctl_untrt,UnTrt,
XPR010_U251MG.311_96H_X1_B35:L03,U251MG,96 h,ctl_vector,BRDN0001148995,
XPR010_U251MG.311_96H_X1_B35:L04,U251MG,96 h,ctl_vector,BRDN0001477792,
XPR010_U251MG.311_96H_X2_B35:A06,U251MG,96 h,ctl_untrt,UnTrt,
XPR010_U251MG.311_96H_X2_B35:C11,U251MG,96 h,ctl_vector,BRDN0001148129,
XPR010_U251MG.311_96H_X2_B35:C12,U251MG,96 h,ctl_vector,BRDN0001146004,
XPR010_U251MG.311_96H_X2_B35:D05,U251MG,96 h,ctl_untrt,UnTrt,
XPR010_U251MG.311_96H_X2_B35:D11,U251MG,96 h,ctl_vector,BRDN0001146753,
XPR010_U251MG.311_96H_X2_B35:D12,U251MG,96 h,ctl_vector,BRDN0001477669,
XPR010_U251MG.311_96H_X2_B35:D20,U251MG,96 h,ctl_untrt,UnTrt,
XPR010_U251MG.311_96H_X2_B35:D21,U251MG,96 h,ctl_untrt,UnTrt,
XPR010_U251MG.311_96H_X2_B35:E13,U251MG,96 h,ctl_untrt,UnTrt,
XPR010_U251MG.311_96H_X2_B35:E14,U251MG,96 h,ctl_untrt,UnTrt,
XPR010_U251MG.311_96H_X2_B35:F04,U251MG,96 h,ctl_untrt,UnTrt,
XPR010_U251MG.311_96H_X2_B35:G19,U251MG,96 h,ctl_vector,BRDN0001148519,
XPR010_U251MG.311_96H_X2_B35:G20,U251MG,96 h,ctl_vector,BRDN0001147223,
XPR010_U251MG.311_96H_X2_B35:H19,U251MG,96 h,ctl_vector,BRDN0001487138,
XPR010_U251MG.311_96H_X2_B35:H20,U251MG,96 h,ctl_vector,BRDN0001149216,
XPR010_U251MG.311_96H_X2_B35:H24,U251MG,96 h,ctl_untrt,UnTrt,
XPR010_U251MG.311_96H_X2_B35:I17,U251MG,96 h,ctl_vector,BRDN0001148145,
XPR010_U251MG.311_96H_X2_B35:I18,U251MG,96 h,ctl_vector,BRDN0001147812,
XPR010_U251MG.311_96H_X2_B35:J17,U251MG,96 h,ctl_vector,BRDN0001146109,
XPR010_U251MG.311_96H_X2_B35:J18,U251MG,96 h,ctl_vector,BRDN0001146085,
XPR010_U251MG.311_96H_X2_B35:K03,U251MG,96 h,ctl_vector,BRDN0001477804,
XPR010_U251MG.311_96H_X2_B35:K04,U251MG,96 h,ctl_vector,BRDN0001146317,
XPR010_U251MG.311_96H_X2_B35:K17,U251MG,96 h,ctl_untrt,UnTrt,
XPR010_U251MG.311_96H_X2_B35:L03,U251MG,96 h,ctl_vector,BRDN0001148995,
XPR010_U251MG.311_96H_X2_B35:L04,U251MG,96 h,ctl_vector,BRDN0001477792,
XPR010_U251MG.311_96H_X3_B35:A06,U251MG,96 h,ctl_untrt,UnTrt,
XPR010_U251MG.311_96H_X3_B35:C11,U251MG,96 h,ctl_vector,BRDN0001148129,
XPR010_U251MG.311_96H_X3_B35:C12,U251MG,96 h,ctl_vector,BRDN0001146004,
XPR010_U251MG.311_96H_X3_B35:D05,U251MG,96 h,ctl_untrt,UnTrt,
XPR010_U251MG.311_96H_X3_B35:D11,U251MG,96 h,ctl_vector,BRDN0001146753,
XPR010_U251MG.311_96H_X3_B35:D12,U251MG,96 h,ctl_vector,BRDN0001477669,
XPR010_U251MG.311_96H_X3_B35:D20,U251MG,96 h,ctl_untrt,UnTrt,
XPR010_U251MG.311_96H_X3_B35:D21,U251MG,96 h,ctl_untrt,UnTrt,
XPR010_U251MG.311_96H_X3_B35:E13,U251MG,96 h,ctl_untrt,UnTrt,
XPR010_U251MG.311_96H_X3_B35:E14,U251MG,96 h,ctl_untrt,UnTrt,
XPR010_U251MG.311_96H_X3_B35:F04,U251MG,96 h,ctl_untrt,UnTrt,
XPR010_U251MG.311_96H_X3_B35:G19,U251MG,96 h,ctl_vector,BRDN0001148519,
XPR010_U251MG.311_96H_X3_B35:G20,U251MG,96 h,ctl_vector,BRDN0001147223,
XPR010_U251MG.311_96H_X3_B35:H19,U251MG,96 h,ctl_vector,BRDN0001487138,
XPR010_U251MG.311_96H_X3_B35:H20,U251MG,96 h,ctl_vector,BRDN0001149216,
XPR010_U251MG.311_96H_X3_B35:H24,U251MG,96 h,ctl_untrt,UnTrt,
XPR010_U251MG.311_96H_X3_B35:I17,U251MG,96 h,ctl_vector,BRDN0001148145,
XPR010_U251MG.311_96H_X3_B35:I18,U251MG,96 h,ctl_vector,BRDN0001147812,
XPR010_U251MG.311_96H_X3_B35:J17,U251MG,96 h,ctl_vector,BRDN0001146109,
XPR010_U251MG.311_96H_X3_B35:J18,U251MG,96 h,ctl_vector,BRDN0001146085,
XPR010_U251MG.311_96H_X3_B35:K03,U251MG,96 h,ctl_vector,BRDN0001477804,
XPR010_U251MG.311_96H_X3_B35:K04,U251MG,96 h,ctl_vector,BRDN0001146317,
XPR010_U251MG.311_96H_X3_B35:K17,U251MG,96 h,ctl_untrt,UnTrt,
XPR010_U251MG.311_96H_X3_B35:L03,U251MG,96 h,ctl_vector,BRDN0001148995,
XPR010_U251MG.311_96H_X3_B35:L04,U251MG,96 h,ctl_vector,BRDN0001477792,
XPR011_U251MG.311_96H_X1_B35:A12,U251MG,96 h,ctl_untrt,UnTrt,
XPR011_U251MG.311_96H_X1_B35:C01,U251MG,96 h,ctl_untrt,UnTrt,
XPR011_U251MG.311_96H_X1_B35:C11,U251MG,96 h,ctl_vector,BRDN0001148129,
XPR011_U251MG.311_96H_X1_B35:C12,U251MG,96 h,ctl_vector,BRDN0001146004,
XPR011_U251MG.311_96H_X1_B35:D11,U251MG,96 h,ctl_vector,BRDN0001146753,
XPR011_U251MG.311_96H_X1_B35:D12,U251MG,96 h,ctl_vector,BRDN0001477669,
XPR011_U251MG.311_96H_X1_B35:D14,U251MG,96 h,ctl_untrt,UnTrt,
XPR011_U251MG.311_96H_X1_B35:E01,U251MG,96 h,ctl_untrt,UnTrt,
XPR011_U251MG.311_96H_X1_B35:G19,U251MG,96 h,ctl_vector,BRDN0001148519,
XPR011_U251MG.311_96H_X1_B35:G20,U251MG,96 h,ctl_vector,BRDN0001147223,
XPR011_U251MG.311_96H_X1_B35:H19,U251MG,96 h,ctl_vector,BRDN0001487138,
XPR011_U251MG.311_96H_X1_B35:H20,U251MG,96 h,ctl_vector,BRDN0001149216,
XPR011_U251MG.311_96H_X1_B35:I17,U251MG,96 h,ctl_vector,BRDN0001148145,
XPR011_U251MG.311_96H_X1_B35:I18,U251MG,96 h,ctl_vector,BRDN0001147812,
XPR011_U251MG.311_96H_X1_B35:I24,U251MG,96 h,ctl_untrt,UnTrt,
XPR011_U251MG.311_96H_X1_B35:J17,U251MG,96 h,ctl_vector,BRDN0001146109,
XPR011_U251MG.311_96H_X1_B35:J18,U251MG,96 h,ctl_vector,BRDN0001146085,
XPR011_U251MG.311_96H_X1_B35:K03,U251MG,96 h,ctl_vector,BRDN0001477804,
XPR011_U251MG.311_96H_X1_B35:K04,U251MG,96 h,ctl_vector,BRDN0001146317,
XPR011_U251MG.311_96H_X1_B35:L03,U251MG,96 h,ctl_vector,BRDN0001148995,
XPR011_U251MG.311_96H_X1_B35:L04,U251MG,96 h,ctl_vector,BRDN0001477792,
XPR011_U251MG.311_96H_X1_B35:L18,U251MG,96 h,ctl_untrt,UnTrt,
XPR011_U251MG.311_96H_X1_B35:P15,U251MG,96 h,ctl_untrt,UnTrt,
XPR011_U251MG.311_96H_X1_B35:P24,U251MG,96 h,ctl_untrt,UnTrt,
XPR011_U251MG.311_96H_X2_B35:A12,U251MG,96 h,ctl_untrt,UnTrt,
XPR011_U251MG.311_96H_X2_B35:C01,U251MG,96 h,ctl_untrt,UnTrt,
XPR011_U251MG.311_96H_X2_B35:C11,U251MG,96 h,ctl_vector,BRDN0001148129,
XPR011_U251MG.311_96H_X2_B35:C12,U251MG,96 h,ctl_vector,BRDN0001146004,
XPR011_U251MG.311_96H_X2_B35:D11,U251MG,96 h,ctl_vector,BRDN0001146753,
XPR011_U251MG.311_96H_X2_B35:D12,U251MG,96 h,ctl_vector,BRDN0001477669,
XPR011_U251MG.311_96H_X2_B35:D14,U251MG,96 h,ctl_untrt,UnTrt,
XPR011_U251MG.311_96H_X2_B35:E01,U251MG,96 h,ctl_untrt,UnTrt,
XPR011_U251MG.311_96H_X2_B35:G19,U251MG,96 h,ctl_vector,BRDN0001148519,
XPR011_U251MG.311_96H_X2_B35:G20,U251MG,96 h,ctl_vector,BRDN0001147223,
XPR011_U251MG.311_96H_X2_B35:H19,U251MG,96 h,ctl_vector,BRDN0001487138,
XPR011_U251MG.311_96H_X2_B35:H20,U251MG,96 h,ctl_vector,BRDN0001149216,
XPR011_U251MG.311_96H_X2_B35:H21,U251MG,96 h,ctl_untrt,UnTrt,
XPR011_U251MG.311_96H_X2_B35:I17,U251MG,96 h,ctl_vector,BRDN0001148145,
XPR011_U251MG.311_96H_X2_B35:I18,U251MG,96 h,ctl_vector,BRDN0001147812,
XPR011_U251MG.311_96H_X2_B35:I24,U251MG,96 h,ctl_untrt,UnTrt,
XPR011_U251MG.311_96H_X2_B35:J17,U251MG,96 h,ctl_vector,BRDN0001146109,
XPR011_U251MG.311_96H_X2_B35:J18,U251MG,96 h,ctl_vector,BRDN0001146085,
XPR011_U251MG.311_96H_X2_B35:K03,U251MG,96 h,ctl_vector,BRDN0001477804,
XPR011_U251MG.311_96H_X2_B35:K04,U251MG,96 h,ctl_vector,BRDN0001146317,
XPR011_U251MG.311_96H_X2_B35:L03,U251MG,96 h,ctl_vector,BRDN0001148995,
XPR011_U251MG.311_96H_X2_B35:L04,U251MG,96 h,ctl_vector,BRDN0001477792,
XPR011_U251MG.311_96H_X2_B35:L18,U251MG,96 h,ctl_untrt,UnTrt,
XPR011_U251MG.311_96H_X2_B35:P15,U251MG,96 h,ctl_untrt,UnTrt,
XPR011_U251MG.311_96H_X2_B35:P24,U251MG,96 h,ctl_untrt,UnTrt,
XPR011_U251MG.311_96H_X3_B35:A12,U251MG,96 h,ctl_untrt,UnTrt,
XPR011_U251MG.311_96H_X3_B35:C01,U251MG,96 h,ctl_untrt,UnTrt,
