,NEU_prg,pert_drug,targets,dose
DOSBIO001_NEU_24H:N24,-1.1230448728184885,DMSO,DMSO_No_target,0 uM
DOSBIO001_NEU_24H:O01,-1.5157473465912101,DMSO,DMSO_No_target,0 uM
DOSBIO001_NEU_24H:P01,-0.5287201860883589,DMSO,DMSO_No_target,0 uM
DOSBIO001_NEU_24H:P02,-0.7611065052086723,DMSO,DMSO_No_target,0 uM
DOSBIO002_NEU_24H:A18,0.19592592186037172,DMSO,DMSO_No_target,0 uM
DOSBIO002_NEU_24H:DMSO:0.1,0.0023966600343285523,DMSO,DMSO_No_target,0 uM
DOSBIO002_NEU_24H:L10,0.1890532150632192,DMSO,DMSO_No_target,0 uM
DOSBIO002_NEU_24H:L12,0.33336888136860676,DMSO,DMSO_No_target,0 uM
DOSBIO002_NEU_24H:L14,0.6683005562900641,DMSO,DMSO_No_target,0 uM
DOSBIO002_NEU_24H:L16,-0.26459844507469066,DMSO,DMSO_No_target,0 uM
DOSBIO002_NEU_24H:L18,0.31581831585367115,DMSO,DMSO_No_target,0 uM
DOSBIO002_NEU_24H:L22,0.443464655872315,DMSO,DMSO_No_target,0 uM
DOSBIO002_NEU_24H:M17,-0.26716175228908196,DMSO,DMSO_No_target,0 uM
DOSBIO002_NEU_24H:M23,0.12409557004193471,DMSO,DMSO_No_target,0 uM
DOSBIO002_NEU_24H:M24,-0.5578171492085648,DMSO,DMSO_No_target,0 uM
DOSBIO002_NEU_24H:N02,0.39955917065380203,DMSO,DMSO_No_target,0 uM
DOSBIO002_NEU_24H:N04,0.029919002772990762,DMSO,DMSO_No_target,0 uM
DOSBIO002_NEU_24H:N08,0.04870851898900336,DMSO,DMSO_No_target,0 uM
DOSBIO002_NEU_24H:N16,-0.2611332559131585,DMSO,DMSO_No_target,0 uM
DOSBIO002_NEU_24H:N18,-0.008480536223728685,DMSO,DMSO_No_target,0 uM
DOSBIO002_NEU_24H:N20,0.1744422901350701,DMSO,DMSO_No_target,0 uM
DOSBIO002_NEU_24H:N22,-0.43532279465431495,DMSO,DMSO_No_target,0 uM
DOSBIO002_NEU_24H:N23,-0.21191998174898094,DMSO,DMSO_No_target,0 uM
DOSBIO002_NEU_24H:O01,-0.5769339329401798,DMSO,DMSO_No_target,0 uM
DOSBIO002_NEU_24H:O02,0.35569702436726386,DMSO,DMSO_No_target,0 uM
DOSBIO002_NEU_24H:P02,-0.0016028522377277143,DMSO,DMSO_No_target,0 uM
DOSBIO002_NEU_24H:P04,0.40827173036967984,DMSO,DMSO_No_target,0 uM
DOSBIO002_NEU_24H:P06,-0.2350084367212394,DMSO,DMSO_No_target,0 uM
DOSBIO002_NEU_24H:P08,0.8846111370952943,DMSO,DMSO_No_target,0 uM
DOSBIO002_NEU_24H:P18,-1.6101039526491026,DMSO,DMSO_No_target,0 uM
DOSBIO002_NEU_24H:P20,-0.1634020219586351,DMSO,DMSO_No_target,0 uM
DOSBIO002_NEU_24H:P24,0.019852460851787046,DMSO,DMSO_No_target,0 uM
LJP007_NEU_24H:A05,-0.10984745979334834,DMSO,DMSO_No_target,0 uM
LJP007_NEU_24H:B05,-0.3278421419476036,DMSO,DMSO_No_target,0 uM
LJP007_NEU_24H:B06,-0.04396575915408811,DMSO,DMSO_No_target,0 uM
LJP007_NEU_24H:F07,0.08283476939235218,DMSO,DMSO_No_target,0 uM
LJP007_NEU_24H:F08,0.04568898054210821,DMSO,DMSO_No_target,0 uM
LJP007_NEU_24H:F09,0.3423991637239588,DMSO,DMSO_No_target,0 uM
LJP007_NEU_24H:F10,-0.511180890964337,DMSO,DMSO_No_target,0 uM
LJP007_NEU_24H:F11,-0.34909633375816707,DMSO,DMSO_No_target,0 uM
LJP007_NEU_24H:F12,-0.04167432774678772,DMSO,DMSO_No_target,0 uM
LJP007_NEU_24H:J13,-0.2961361616500938,DMSO,DMSO_No_target,0 uM
LJP007_NEU_24H:J14,0.09027048718222375,DMSO,DMSO_No_target,0 uM
LJP007_NEU_24H:J15,-0.6434212646914913,DMSO,DMSO_No_target,0 uM
LJP007_NEU_24H:J16,0.2682828713059326,DMSO,DMSO_No_target,0 uM
LJP007_NEU_24H:J17,0.6469333749575036,DMSO,DMSO_No_target,0 uM
LJP007_NEU_24H:J18,0.10657742320272053,DMSO,DMSO_No_target,0 uM
LJP007_NEU_24H:N19,0.1440387549665104,DMSO,DMSO_No_target,0 uM
LJP007_NEU_24H:N20,0.3317903184154334,DMSO,DMSO_No_target,0 uM
LJP007_NEU_24H:N21,-0.09599378353166094,DMSO,DMSO_No_target,0 uM
LJP007_NEU_24H:N22,-0.06819922463294048,DMSO,DMSO_No_target,0 uM
LJP007_NEU_24H:N23,-0.16294352262995598,DMSO,DMSO_No_target,0 uM
LJP007_NEU_24H:N24,0.5914847268117353,DMSO,DMSO_No_target,0 uM
LJP008_NEU_24H:A05,-0.6579010328130617,DMSO,DMSO_No_target,0 uM
LJP008_NEU_24H:A06,0.3511764947196108,DMSO,DMSO_No_target,0 uM
LJP008_NEU_24H:B05,-0.8058527399132522,DMSO,DMSO_No_target,0 uM
LJP008_NEU_24H:B06,-0.7406771798239791,DMSO,DMSO_No_target,0 uM
LJP008_NEU_24H:F07,0.1860124000405623,DMSO,DMSO_No_target,0 uM
LJP008_NEU_24H:F08,0.46146871105159637,DMSO,DMSO_No_target,0 uM
LJP008_NEU_24H:F09,0.5662106517994253,DMSO,DMSO_No_target,0 uM
LJP008_NEU_24H:F10,0.4005673640984926,DMSO,DMSO_No_target,0 uM
LJP008_NEU_24H:F11,-0.02454835387438027,DMSO,DMSO_No_target,0 uM
LJP008_NEU_24H:F12,-0.54662153942905,DMSO,DMSO_No_target,0 uM
LJP008_NEU_24H:J13,0.15969468550595395,DMSO,DMSO_No_target,0 uM
LJP008_NEU_24H:J14,0.32480304819858763,DMSO,DMSO_No_target,0 uM
LJP008_NEU_24H:J15,-0.12204221947723037,DMSO,DMSO_No_target,0 uM
LJP008_NEU_24H:J16,-0.5189139806687617,DMSO,DMSO_No_target,0 uM
LJP008_NEU_24H:J17,0.7252162408936248,DMSO,DMSO_No_target,0 uM
LJP008_NEU_24H:J18,0.015256586064345622,DMSO,DMSO_No_target,0 uM
LJP008_NEU_24H:N19,0.8051716599497407,DMSO,DMSO_No_target,0 uM
LJP008_NEU_24H:N20,-0.7027315992336771,DMSO,DMSO_No_target,0 uM
LJP008_NEU_24H:N21,0.4876727611526624,DMSO,DMSO_No_target,0 uM
LJP008_NEU_24H:N22,0.6574408092077854,DMSO,DMSO_No_target,0 uM
LJP008_NEU_24H:N23,-0.6889424562836155,DMSO,DMSO_No_target,0 uM
LJP008_NEU_24H:N24,-0.7803966543510685,DMSO,DMSO_No_target,0 uM
LJP008_NEU_24H:P19,-0.2834447919725007,DMSO,DMSO_No_target,0 uM
LJP008_NEU_24H:P20,-0.04251858565184824,DMSO,DMSO_No_target,0 uM
LJP008_NEU_24H:P21,-0.15027333303977145,DMSO,DMSO_No_target,0 uM
LJP008_NEU_24H:P22,0.059244160814432234,DMSO,DMSO_No_target,0 uM
LJP008_NEU_24H:P23,0.34214730524750114,DMSO,DMSO_No_target,0 uM
LJP008_NEU_24H:P24,0.5227815877878798,DMSO,DMSO_No_target,0 uM
LJP009_NEU_24H:A05,0.1572158888190911,DMSO,DMSO_No_target,0 uM
LJP009_NEU_24H:A06,0.9548577571621351,DMSO,DMSO_No_target,0 uM
LJP009_NEU_24H:B05,-0.16766143964127894,DMSO,DMSO_No_target,0 uM
LJP009_NEU_24H:B06,-0.06444171677437216,DMSO,DMSO_No_target,0 uM
LJP009_NEU_24H:F07,0.10312019841955017,DMSO,DMSO_No_target,0 uM
LJP009_NEU_24H:F08,0.06692675173169538,DMSO,DMSO_No_target,0 uM
LJP009_NEU_24H:F09,-0.25290298811368206,DMSO,DMSO_No_target,0 uM
LJP009_NEU_24H:F10,0.10379494434544714,DMSO,DMSO_No_target,0 uM
LJP009_NEU_24H:F11,-0.06118442087179544,DMSO,DMSO_No_target,0 uM
LJP009_NEU_24H:F12,0.2810408192181078,DMSO,DMSO_No_target,0 uM
LJP009_NEU_24H:J13,0.1261430143292569,DMSO,DMSO_No_target,0 uM
LJP009_NEU_24H:J14,0.038405726997551765,DMSO,DMSO_No_target,0 uM
LJP009_NEU_24H:J15,0.47376943140327615,DMSO,DMSO_No_target,0 uM
LJP009_NEU_24H:J16,0.6970969366735815,DMSO,DMSO_No_target,0 uM
LJP009_NEU_24H:J17,0.5133127419048144,DMSO,DMSO_No_target,0 uM
LJP009_NEU_24H:J18,0.259237672194592,DMSO,DMSO_No_target,0 uM
LJP009_NEU_24H:N19,1.0411683179799807,DMSO,DMSO_No_target,0 uM
LJP009_NEU_24H:N20,-0.26802856597002966,DMSO,DMSO_No_target,0 uM
LJP009_NEU_24H:N21,-0.7949078809575454,DMSO,DMSO_No_target,0 uM
LJP009_NEU_24H:N22,-1.1267848995671483,DMSO,DMSO_No_target,0 uM
LJP009_NEU_24H:N23,-0.9164223062559862,DMSO,DMSO_No_target,0 uM
LJP009_NEU_24H:N24,-1.1637559830272282,DMSO,DMSO_No_target,0 uM
NMH001_NEU_24H:A18,-0.4699843494811899,DMSO,DMSO_No_target,0 uM
NMH001_NEU_24H:B17,-0.9909597659248303,DMSO,DMSO_No_target,0 uM
NMH001_NEU_24H:B18,-0.41136024294577683,DMSO,DMSO_No_target,0 uM
NMH001_NEU_24H:DMSO:-666,-0.31964606036630855,DMSO,DMSO_No_target,0 uM
NMH001_NEU_24H:E05,0.05085826191553414,DMSO,DMSO_No_target,0 uM
NMH001_NEU_24H:E06,0.01885729198748798,DMSO,DMSO_No_target,0 uM
NMH001_NEU_24H:F05,0.2795383209206044,DMSO,DMSO_No_target,0 uM
NMH001_NEU_24H:I15,-0.24092792722045822,DMSO,DMSO_No_target,0 uM
NMH001_NEU_24H:I16,-0.23609614931207393,DMSO,DMSO_No_target,0 uM
NMH001_NEU_24H:J15,0.5618871601555933,DMSO,DMSO_No_target,0 uM
NMH001_NEU_24H:J16,0.32788523614142584,DMSO,DMSO_No_target,0 uM
NMH001_NEU_24H:M09,-1.6365067993336762,DMSO,DMSO_No_target,0 uM
NMH001_NEU_24H:N09,-0.789395772058703,DMSO,DMSO_No_target,0 uM
NMH001_NEU_24H:N10,-1.6168332078929444,DMSO,DMSO_No_target,0 uM
NMH001_NEU_6H:A17,-0.10952995389519127,DMSO,DMSO_No_target,0 uM
NMH001_NEU_6H:A18,0.15234217151364943,DMSO,DMSO_No_target,0 uM
NMH001_NEU_6H:B17,0.08586573693397773,DMSO,DMSO_No_target,0 uM
NMH001_NEU_6H:B18,0.35660735760334317,DMSO,DMSO_No_target,0 uM
NMH001_NEU_6H:DMSO:-666,0.370088397265815,DMSO,DMSO_No_target,0 uM
NMH001_NEU_6H:E05,0.4667730019271156,DMSO,DMSO_No_target,0 uM
NMH001_NEU_6H:E06,1.1044500658445027,DMSO,DMSO_No_target,0 uM
NMH001_NEU_6H:F05,0.2686159465685485,DMSO,DMSO_No_target,0 uM
NMH001_NEU_6H:F06,0.40992096954956436,DMSO,DMSO_No_target,0 uM
NMH001_NEU_6H:I15,0.21817223582718903,DMSO,DMSO_No_target,0 uM
NMH001_NEU_6H:I16,0.4244367384427555,DMSO,DMSO_No_target,0 uM
NMH001_NEU_6H:J15,0.514045771779771,DMSO,DMSO_No_target,0 uM
NMH001_NEU_6H:J16,0.8426228084946539,DMSO,DMSO_No_target,0 uM
NMH001_NEU_6H:M09,-0.04812980226521116,DMSO,DMSO_No_target,0 uM
NMH001_NEU_6H:M10,-0.4141103274164918,DMSO,DMSO_No_target,0 uM
NMH001_NEU_6H:N09,0.7039269818482013,DMSO,DMSO_No_target,0 uM
NMH001_NEU_6H:N10,0.1265859033931543,DMSO,DMSO_No_target,0 uM
NMH002_NEU_24H:B17,0.4050117031105834,DMSO,DMSO_No_target,0 uM
NMH002_NEU_24H:B18,0.6048205916297597,DMSO,DMSO_No_target,0 uM
NMH002_NEU_24H:DMSO:-666,-0.10331742885095731,DMSO,DMSO_No_target,0 uM
NMH002_NEU_24H:E05,0.019940746645762286,DMSO,DMSO_No_target,0 uM
NMH002_NEU_24H:E06,-0.6168717254042767,DMSO,DMSO_No_target,0 uM
NMH002_NEU_24H:F05,-0.04680618383813906,DMSO,DMSO_No_target,0 uM
NMH002_NEU_24H:F06,0.2430028994725728,DMSO,DMSO_No_target,0 uM
NMH002_NEU_24H:I15,-0.20795053300654298,DMSO,DMSO_No_target,0 uM
NMH002_NEU_24H:I16,-0.9493009473723226,DMSO,DMSO_No_target,0 uM
NMH002_NEU_24H:J15,0.2855966714519612,DMSO,DMSO_No_target,0 uM
NMH002_NEU_24H:J16,-0.22334996799815027,DMSO,DMSO_No_target,0 uM
NMH002_NEU_24H:M09,-2.276987700705245,DMSO,DMSO_No_target,0 uM
NMH002_NEU_24H:M10,1.1368272111618594,DMSO,DMSO_No_target,0 uM
NMH002_NEU_24H:N09,-0.4679712374565687,DMSO,DMSO_No_target,0 uM
NMH002_NEU_6H:A17,0.17011654941837798,DMSO,DMSO_No_target,0 uM
NMH002_NEU_6H:A18,-0.022549227143446506,DMSO,DMSO_No_target,0 uM
NMH002_NEU_6H:B17,0.22951995657626345,DMSO,DMSO_No_target,0 uM
NMH002_NEU_6H:B18,0.008321819514402862,DMSO,DMSO_No_target,0 uM
NMH002_NEU_6H:DMSO:-666,0.17413034983496403,DMSO,DMSO_No_target,0 uM
NMH002_NEU_6H:E05,0.08681780488729796,DMSO,DMSO_No_target,0 uM
NMH002_NEU_6H:E06,0.0008365040533781926,DMSO,DMSO_No_target,0 uM
NMH002_NEU_6H:F05,0.4062130644396109,DMSO,DMSO_No_target,0 uM
NMH002_NEU_6H:F06,0.2642716865179342,DMSO,DMSO_No_target,0 uM
NMH002_NEU_6H:I15,0.3909427078201645,DMSO,DMSO_No_target,0 uM
NMH002_NEU_6H:J15,-0.3694715281150166,DMSO,DMSO_No_target,0 uM
NMH002_NEU_6H:J16,-0.3504992670848498,DMSO,DMSO_No_target,0 uM
NMH002_NEU_6H:M09,0.34152621366389413,DMSO,DMSO_No_target,0 uM
NMH002_NEU_6H:M10,0.569937179901217,DMSO,DMSO_No_target,0 uM
NMH002_NEU_6H:N09,-0.06702121860706228,DMSO,DMSO_No_target,0 uM
NMH002_NEU_6H:N10,0.36426330548257085,DMSO,DMSO_No_target,0 uM
CPC012_NEU_24H:BRD-A01960364-001-01-9:10,1.6457504795184072,BRD-A01960364,,10 uM
CPC012_NEU_24H:BRD-A04172077-001-01-6:10,0.48305076900265087,BRD-A04172077,,10 uM
CPC012_NEU_24H:BRD-A06131576-001-01-6:10,0.9660359159076488,BRD-A06131576,,10 uM
CPC012_NEU_24H:BRD-A09186529-001-01-5:10,0.17433834340691157,ST-024029,,10 uM
CPC012_NEU_24H:BRD-A10330754-001-01-2:10,-1.1298519150319033,BRD-A10330754,,10 uM
CPC012_NEU_24H:BRD-A13367427-001-01-8:10,-0.2657437963349227,BRD-A13367427,,10 uM
CPC012_NEU_24H:BRD-A15010982-001-01-9:10,-1.104644404072461,HU-211,"CNR1, CNR2, GRIN1",10 uM
CPC012_NEU_24H:BRD-A16581344-001-01-1:10,1.6033096394549764,BRD-A16581344,,10 uM
CPC012_NEU_24H:BRD-A17718497-001-01-3:10,-0.36661435611961024,BRD-A17718497,,10 uM
CPC012_NEU_24H:BRD-A19037878:10,-2.503410374114302,BRD-A19037878,,10 uM
CPC012_NEU_24H:BRD-A19248578-001-02-9:10,-0.3793349136845891,latrunculin-b,,10 uM
CPC012_NEU_24H:BRD-A19248578-001-03-7:10,0.30448046647483273,latrunculin-b,,10 uM
CPC012_NEU_24H:BRD-A19500257:10,-2.507916745073946,geldanamycin,HSP90AA1,10 uM
CPC012_NEU_24H:BRD-A22272113-001-01-8:10,-0.74498928909321,BRD-A22272113,,10 uM
CPC012_NEU_24H:BRD-A26962727-001-01-8:10,-0.2038069456822938,BRD-A26962727,,10 uM
CPC012_NEU_24H:BRD-A27640568-001-01-1:10,0.13340952468825323,BRD-A27640568,,10 uM
CPC012_NEU_24H:BRD-A30455275-001-01-3:10,0.3686369150680684,BRD-A30455275,,10 uM
CPC012_NEU_24H:BRD-A36165599-001-01-1:10,0.17551203768795826,BRD-A36165599,,10 uM
CPC012_NEU_24H:BRD-A36884011-001-01-7:10,-0.07727122781727858,BRD-A36884011,,10 uM
CPC012_NEU_24H:BRD-A39093044-001-05-4:10,1.6387949647962092,K784-3187,,10 uM
CPC012_NEU_24H:BRD-A43155244-001-01-2:10,-3.1509914225184517,BRD-A43155244,,10 uM
CPC012_NEU_24H:BRD-A50388635-001-01-6:10,0.1878647580928215,BRD-A50388635,,10 uM
CPC012_NEU_24H:BRD-A51777634-001-01-0:10,-0.3888027522176166,VU-0418933-1,,10 uM
CPC012_NEU_24H:BRD-A55142378-001-02-1:10,0.1783920568996351,STK-674938,,10 uM
CPC012_NEU_24H:BRD-A55565369-001-01-6:10,-0.5831397778335353,BRD-A55565369,,10 uM
CPC012_NEU_24H:BRD-A59985574-003-01-9:10,-2.1330843851780044,topotecan,TOP1,10 uM
CPC012_NEU_24H:BRD-A61858259-001-01-0:10,1.2927634066911795,CAY-10415,INS,10 uM
CPC012_NEU_24H:BRD-A62200266-001-01-5:10,-2.8538300861538533,BRD-A62200266,,10 uM
CPC012_NEU_24H:BRD-A63583287-001-01-8:10,-0.1390904181923312,SA-1447005,,10 uM
CPC012_NEU_24H:BRD-A67306036-001-01-4:10,-0.7425901976695254,BRD-A67306036,,10 uM
CPC012_NEU_24H:BRD-A67438293-001-01-3:10,-1.1635768373662818,treprostinil,PTGIR,10 uM
CPC012_NEU_24H:BRD-A69336132-001-01-2:10,0.6321726633191938,KM-04501,,10 uM
CPC012_NEU_24H:BRD-A69439373-300-01-8:10,-0.7334112655309422,ST-003833,,10 uM
CPC012_NEU_24H:BRD-A71171460-001-01-1:10,-0.9870597637487328,UGISS-186,,10 uM
CPC012_NEU_24H:BRD-A72837804-001-01-1:10,-0.6828589972270172,BRD-A72837804,,10 uM
CPC012_NEU_24H:BRD-A73847809-001-01-4:10,0.17781335078285487,BRD-A73847809,,10 uM
CPC012_NEU_24H:BRD-A74771556-001-01-0:10,-0.2749175836713287,nikkomycin,,10 uM
CPC012_NEU_24H:BRD-A75409952:10,-2.1009046526913555,wortmannin,"PIK3CA, PIK3CG, PLK1",10 uM
CPC012_NEU_24H:BRD-A76490030-001-06-0:10,0.17733662405905162,K784-3131,,10 uM
CPC012_NEU_24H:BRD-A76732176-001-01-0:10,0.5419411836373392,BRD-A76732176,,10 uM
CPC012_NEU_24H:BRD-A80788753-001-01-7:10,0.22223137599019493,EMF-sumo1-10,,10 uM
CPC012_NEU_24H:BRD-A82913781-001-01-5:10,-1.0908722219527598,BRD-A82913781,,10 uM
CPC012_NEU_24H:BRD-A88029023-001-01-2:10,-1.0125845608223898,BRD-A88029023,,10 uM
CPC012_NEU_24H:BRD-A88504692-001-01-4:10,0.5573299927982346,BRD-A88504692,,10 uM
CPC012_NEU_24H:BRD-A98888159-001-01-5:10,0.17076718176873307,BRD-A98888159,,10 uM
CPC012_NEU_24H:BRD-K00486725-001-01-8:10,0.7249979406832517,BRD-K00486725,,10 uM
CPC012_NEU_24H:BRD-K00551481-001-01-3:10,0.8204132848590069,BRD-K00551481,,10 uM
CPC012_NEU_24H:BRD-K00656370-001-01-4:10,-0.02439866435298052,6-aminochrysene,,10 uM
CPC012_NEU_24H:BRD-K00816165-001-01-3:10,-1.5792338085342732,BRD-K00816165,,10 uM
CPC012_NEU_24H:BRD-K00859168-001-01-0:10,-0.4709589285982717,BRD-K00859168,,10 uM
CPC012_NEU_24H:BRD-K00944562-001-01-2:10,-0.9547671826170976,BRD-K00944562,,10 uM
CPC012_NEU_24H:BRD-K01614657-001-01-6:10,0.6688873870227658,BRD-K01614657,,10 uM
CPC012_NEU_24H:BRD-K02130563-001-06-4:10,-1.8602445243721952,panobinostat,"HDAC1, HDAC2",10 uM
CPC012_NEU_24H:BRD-K02223034-001-01-9:10,0.00971768643815929,BRD-K02223034,,10 uM
CPC012_NEU_24H:BRD-K02701279-001-01-8:10,-0.28386848301327866,BRD-K02701279,,10 uM
CPC012_NEU_24H:BRD-K03568209-001-07-2:10,-0.7299210052702896,MW-STK33-4C,,10 uM
CPC012_NEU_24H:BRD-K03644760-001-01-5:10,-0.5082533149534414,MW-A1-6,,10 uM
CPC012_NEU_24H:BRD-K03736784-001-01-1:10,-1.9701994814068309,BRD-K03736784,,10 uM
CPC012_NEU_24H:BRD-K03857568-001-06-6:10,-0.3742408387568491,BRD-K03857568,,10 uM
